title	year	director	cast	genre	notes
The Impossible Years	1968	Michael Gordon	"David Niven, Lola Albright, Ozzie Nelson"	Comedy	based on the Broadway play
In Enemy Country	1968	Harry Keller	"Anthony Franciosa, Anjanette Comer"	War	
In the Year of the Pig	1968	Emile de Antonio	"Gerald Ford, Dwight D. Eisenhower"	Documentary	
Jigsaw	1968	James Goldstone	"Harry Guardino, Bradford Dillman, Hope Lange"	Thriller	Universal
Killers Three	1968	Bruce Kessler	"Dick Clark, Robert Walker, Jr., Merle Haggard"	Crime	"produced, co-written by Clark"
The Killing of Sister George	1968	Robert Aldrich	"Beryl Reid, Coral Browne, Susannah York"	Drama	based on Frank Marcus play
Kona Coast	1968	Lamont Johnson	"Richard Boone, Vera Miles, Joan Blondell"	Drama	
Lady in Cement	1968	Gordon Douglas	"Frank Sinatra, Raquel Welch, Dan Blocker"	Crime drama	sequel to Tony Rome
The Legend of Lylah Clare	1968	Robert Aldrich	"Kim Novak, Peter Finch, Ernest Borgnine"	Drama	MGM
"Live a Little, Love a Little"	1968	Norman Taurog	"Elvis Presley, Michele Carey, Rudy Vall?e"	Comedy	Taurog's final film
The Love Bug	1968	Robert Stevenson	"Dean Jones, Michele Lee, David Tomlinson"	Family	first of Herbie series
A Lovely Way to Die	1968	David Lowell Rich	"Kirk Douglas, Sylvia Koscina, Eli Wallach"	Drama	Universal
Madigan	1968	Don Siegel	"Richard Widmark, Henry Fonda, Inger Stevens, James Whitmore, Harry Guardino, Susan Clark"	Crime drama	Universal; later became a TV series
Madigan's Millions	1968	Stanley Prager	Dustin Hoffman	Comedy	
The Magus	1968	Guy Green	"Michael Caine, Candice Bergen, Anthony Quinn"	Drama	based on a book by John Fowles
The Money Jungle	1968	Francis D. Lyon	"Lola Albright, John Ericson, Leslie Parrish"	Crime drama	
Monterey Pop	1968	D. A. Pennebaker	"Jimi Hendrix, Otis Redding, Simon & Garfunkel, The Mamas & the Papas, Jefferson Airplane, The Who"	Documentary	from the 1967 Monterey Pop music festival
More Dead Than Alive	1968	Robert Sparr	"Clint Walker, Vincent Price, Anne Francis"	Western	United Artists
The Movie Orgy	1968	Joe Dante		Documentary	
Never a Dull Moment	1968	Jerry Paris	"Dick Van Dyke, Dorothy Provine, Edward G. Robinson"	Crime comedy	Disney
The Night of the Following Day	1968	Hubert Cornfield	"Marlon Brando, Richard Boone, Rita Moreno"	Crime drama	Universal
Night of the Living Dead	1968	George A. Romero	"Duane Jones, Judith O'Dea"	Horror	Romero's first zombie film
The Night They Raided Minsky's	1968	William Friedkin	"Jason Robards, Elliott Gould, Forrest Tucker"	Comedy	produced by Norman Lear
No Way to Treat a Lady	1968	Jack Smight	"Rod Steiger, Lee Remick, George Segal"	Thriller	based on William Goldman novel
Nobody Runs Forever	1968	Ralph Thomas	"Rod Taylor, Christopher Plummer"	Drama	Cinerama Releasing Corp.
Nobody's Perfect	1968	Alan Rafkin	"Doug McClure, Nancy Kwan, James Whitmore"	Comedy	
The Odd Couple	1968	Gene Saks	"Jack Lemmon, Walter Matthau"	Comedy	based on Neil Simon play; sequel in 1998
"The One and Only, Genuine, Original Family Band"	1968	Michael O'Herlihy	"Walter Brennan, Buddy Ebsen, Lesley Ann Warren, John Davidson, Kurt Russell"	Family	Disney
P.J.	1968	John Guillermin	"George Peppard, Raymond Burr, Gayle Hunnicutt"	Mystery	Universal
Paper Lion	1968	Alex March	"Alan Alda, Lauren Hutton, Alex Karras"	"Biography, Sports"	based on George Plimpton book
The Party	1968	Blake Edwards	"Peter Sellers, Claudine Longet"	Comedy	United Artists
Petulia	1968	Richard Lester	"George C. Scott, Julie Christie"	Drama	based on John Haase novel
The Pink Jungle	1968	Delbert Mann	"James Garner, George Kennedy"	Adventure	based on Alan Williams novel
A Place for Lovers	1968	Vittorio De Sica	"Faye Dunaway, Marcello Mastroianni"	Drama	MGM
Planet of the Apes	1968	Franklin J. Schaffner	"Charlton Heston, Roddy McDowall, Maurice Evans, Kim Hunter"	Science fiction	based on Pierre Boulle novel; inspired 4 sequels
